id,min,max,mean,sd
1,33.275,75.944,55.69363414634146,12.91609079550794
10,42.018,80.224,62.38475609756098,11.838001955103081
100,42.951,81.653,61.860780487804874,11.474567047414459
11,44.912,88.686,66.9719268292683,13.252461787136465
12,39.122,80.081,58.5329512195122,12.781572604635198
13,47.443,85.895,66.43821951219512,11.713081316443157
14,43.177,90.146,64.79112195121951,13.59586293361904
15,49.564,87.471,68.261,11.006319484732398
16,46.731,84.788,64.7190243902439,11.756419013644853
17,35.64,78.304,56.10453658536586,12.744795443822472
18,46.643,89.42,67.52543902439025,12.336494875062325
19,49.942,89.335,70.43792682926829,11.96505498397363
2,42.5,85.545,62.82653658536585,12.522137166030328
20,35.799,83.38,59.057048780487804,14.406249166509685
21,39.33,79.436,58.982853658536584,12.085500673453657
22,44.082,92.334,68.31224390243902,14.351283076402066
23,35.474,79.207,58.050390243902434,13.334086340799749
24,43.668,85.69,64.96007317073172,12.594724553141772
25,40.965,83.739,61.95982926829269,12.459582849964198
26,43.958,78.49,60.80973170731706,9.876224972185451
27,43.436,90.271,66.61029268292684,13.83382289579403
28,46.393,83.45,65.14953658536584,10.926269649559178
29,48.602,87.293,66.57741463414635,11.54048923784345
3,53.826,93.54,74.51480487804878,11.922901595709645
30,39.919,80.458,59.92463414634147,12.183232534422254
31,41.279,79.388,60.680853658536584,11.714302562596238
32,46.887,89.648,67.49304878048781,12.49774042167467
33,41.114,78.305,57.87065853658536,11.06730353701785
34,44.689,86.693,65.00746341463416,12.301884654591671
35,40.164,79.671,59.563585365853655,11.66738791241555
36,38.296,76.856,56.75560975609755,11.475959109978671
37,44.404,85.448,63.52065853658536,12.29719354895611
38,43.56,80.032,61.725317073170736,11.113828594231208
39,45.605,81.629,63.856682926829265,10.87377384912668
4,44.584,80.973,62.6499756097561,10.917178608706108
40,45.093,83.711,63.41848780487805,11.792378884521035
41,48.536,82.364,65.25395121951219,10.526897398928185
42,47.951,84.455,66.62890243902439,10.884815494083668
43,34.606,75.63,54.355000000000004,12.249628190275816
44,40.584,85.0,62.420073170731705,13.592471573246426
45,39.272,82.5,59.60463414634146,13.51634521192045
46,36.613,78.17,57.076,12.58318069885353
47,34.362,75.338,54.70709756097561,12.274127968627502
48,45.68,83.281,63.70856097560976,11.057168534595059
49,43.303,81.491,62.37631707317073,11.840244303727488
5,41.312,79.851,60.6999512195122,11.75298322757082
50,46.175,85.874,65.81041463414634,11.619926632676323
51,41.697,84.519,63.89653658536585,13.07590263250985
52,47.62,91.976,68.14402439024391,13.503033861854538
53,42.315,82.723,61.301463414634135,12.301430260537922
54,45.572,88.459,66.21868292682927,12.93942364914107
55,43.465,90.335,66.71534146341463,14.117607291268865
56,45.062,86.512,64.02526829268292,12.104035009087653
57,39.517,84.79,60.83848780487805,13.529817053681752
58,36.996,80.027,58.03209756097561,13.203422803964278
59,46.541,86.394,65.90529268292683,11.852556693059736
6,41.679,84.414,62.525439024390245,13.052287498842457
60,36.176,77.55,57.43278048780487,12.50385124574064
61,33.973,74.042,53.32060975609756,11.72679474084468
62,49.286,95.331,71.4721219512195,13.719673966962775
63,41.525,86.437,63.04424390243902,13.70909485484087
64,38.537,80.303,59.66295121951219,12.419748089134536
65,41.103,82.88,61.25321951219512,12.481999057667394
66,42.933,81.61,61.55902439024391,11.964291010101276
67,41.398,76.797,58.3319512195122,10.705499995215588
68,46.832,86.698,66.09134146341464,11.995015770330934
69,41.009,82.428,61.29485365853658,12.44522427793283
7,38.07,75.895,55.5829512195122,11.673311946382697
70,44.39,84.444,65.24019512195122,12.367476123323447
71,49.416,88.691,68.1421951219512,12.070746253275958
72,47.414,89.776,68.43382926829268,12.49501554201202
73,43.443,81.596,62.45612195121952,11.316647573807186
74,65.699,100.292,82.09885365853657,10.525796156493284
75,40.251,81.717,61.72707317073171,12.570783775067973
76,45.61,85.298,64.81702439024389,11.667255683081187
77,48.801,96.312,71.38795121951219,14.25346545046365
78,43.964,79.945,62.12063414634147,10.84276869336448
79,40.908,81.261,60.11792682926829,11.988717071459824
8,46.222,82.857,64.25231707317073,10.878287554663704
80,34.957,81.201,57.55207317073171,14.472737645985028
81,46.338,91.689,68.0359756097561,13.415922747779604
82,45.425,78.265,62.0260975609756,10.073513495312541
83,58.017,90.514,73.33487804878048,9.84747839600352
84,40.195,80.648,59.228902439024395,12.309895742460368
85,40.427,78.596,58.64478048780488,11.41280124577703
86,64.055,100.703,82.65748780487804,11.197713831675536
87,42.095,82.168,61.21724390243903,12.299476134739415
88,40.282,83.259,61.98343902439025,12.942961521708972
89,36.53,72.658,53.90512195121951,10.665257299275815
9,46.375,84.746,66.30029268292682,11.874329583694193
90,42.545,85.629,63.25819512195122,13.073018192482392
91,37.518,82.889,58.921975609756096,13.305549018149918
92,37.06,78.066,57.66848780487803,12.273376027242772
93,50.457,90.903,69.99356097560975,12.052014269508605
94,41.675,81.617,61.534390243902436,11.820883892243526
95,49.334,87.92,68.73439024390242,11.298422418368967
96,42.895,78.919,60.57160975609755,10.94848409798829
97,48.66,85.909,66.69565853658537,11.402603144917736
98,41.034,80.759,60.50143902439025,12.273486481128296
99,40.918,80.07,60.05834146341464,11.806708617582117
999,,,,
