id,value
1,42.669000000000004
10,38.206
100,38.702000000000005
11,43.77400000000001
12,40.959
13,38.452
14,46.969
15,37.907000000000004
16,38.056999999999995
17,42.664
18,42.777
19,39.392999999999994
2,43.045
20,47.580999999999996
21,40.10600000000001
22,48.252
23,43.733
24,42.022
25,42.774
26,34.532
27,46.835
28,37.057
29,38.69100000000001
3,39.714000000000006
30,40.539
31,38.109
32,42.760999999999996
33,37.19100000000001
34,42.004
35,39.507000000000005
36,38.559999999999995
37,41.04399999999999
38,36.471999999999994
39,36.02400000000001
4,36.388999999999996
40,38.617999999999995
41,33.828
42,36.504
43,41.023999999999994
44,44.416
45,43.228
46,41.557
47,40.97599999999999
48,37.601000000000006
49,38.188
5,38.539
50,39.699
51,42.822
52,44.356
53,40.408
54,42.887
55,46.86999999999999
56,41.45
57,45.273
58,43.031
59,39.85300000000001
6,42.735
60,41.373999999999995
61,40.069
62,46.045
63,44.912
64,41.766
65,41.776999999999994
66,38.677
67,35.398999999999994
68,39.86599999999999
69,41.419
7,37.824999999999996
70,40.054
71,39.275000000000006
72,42.361999999999995
73,38.153000000000006
74,34.593
75,41.466
76,39.688
77,47.510999999999996
78,35.980999999999995
79,40.352999999999994
8,36.635
80,46.24399999999999
81,45.35099999999999
82,32.84
83,32.49699999999999
84,40.452999999999996
85,38.169000000000004
86,36.647999999999996
87,40.07300000000001
88,42.977000000000004
89,36.128
9,38.370999999999995
90,43.084
91,45.370999999999995
92,41.006
93,40.446000000000005
94,39.94200000000001
95,38.586
96,36.023999999999994
97,37.24900000000001
98,39.725
99,39.151999999999994
999,
