id,Fattening_group.Pen,age,weight,dfi,cfi,previous_weight
999,202001-69,1,25.0,1.916,63.19519430230426,
999,202001-69,2,,1.947,63.19519430230426,25.0
86,202001-69,1,57.504,1.943,63.19519430230426,
86,202001-69,2,58.551,1.595,64.79019430230426,57.504
86,202001-69,3,59.597,1.725,66.51519430230425,58.551
86,202001-69,4,60.644,1.731,68.24619430230425,59.597
86,202001-69,5,61.691,1.735,69.98119430230425,60.644
86,202001-69,6,62.737,1.794,71.77519430230424,61.691
86,202001-69,7,64.5,1.554,73.32919430230424,62.737
86,202001-69,8,64.75,1.827,75.15619430230424,64.5
86,202001-69,9,65.5,1.651,76.80719430230424,64.75
86,202001-69,10,66.5,1.65,78.45719430230425,65.5
86,202001-69,11,67.75,1.781,80.23819430230425,66.5
86,202001-69,12,69.0,1.966,82.20419430230424,67.75
86,202001-69,13,70.0,2.276,84.48019430230424,69.0
86,202001-69,14,72.0,2.216,86.69619430230424,70.0
86,202001-69,15,72.25,2.167,88.86319430230424,72.0
86,202001-69,16,73.0,2.554,91.41719430230424,72.25
86,202001-69,17,74.5,2.23,93.64719430230424,73.0
86,202001-69,18,75.75,2.14,95.78719430230424,74.5
86,202001-69,19,76.5,2.295,98.08219430230425,75.75
86,202001-69,20,78.0,2.219,100.30119430230424,76.5
86,202001-69,21,79.0,2.254,102.55519430230424,78.0
86,202001-69,22,80.0,2.12,104.67519430230423,79.0
86,202001-69,23,81.0,1.926,106.60119430230424,80.0
86,202001-69,24,80.5,2.367,108.96819430230424,81.0
86,202001-69,25,82.0,2.6,111.56819430230424,80.5
86,202001-69,26,82.75,2.192,113.76019430230426,82.0
86,202001-69,27,84.75,2.379,116.13919430230426,82.75
86,202001-69,28,85.0,2.223,118.36219430230426,84.75
86,202001-69,29,86.25,2.805,121.16719430230428,85.0
86,202001-69,30,87.5,2.402,123.56919430230428,86.25
86,202001-69,31,89.0,2.385,125.95419430230427,87.5
86,202001-69,32,90.25,2.747,128.70119430230426,89.0
86,202001-69,33,91.0,2.256,130.95719430230426,90.25
86,202001-69,34,93.0,3.007,133.96419430230426,91.0
86,202001-69,35,94.0,2.883,136.84719430230427,93.0
86,202001-69,36,95.5,2.866,139.7131943023043,94.0
86,202001-69,37,96.5,2.627,142.3401943023043,95.5
86,202001-69,38,96.5,2.52,144.8601943023043,96.5
86,202001-69,39,99.0,3.011,147.8711943023043,96.5
86,202001-69,40,99.0,1.821,149.6921943023043,99.0
86,202001-69,41,99.0,2.099,151.7911943023043,99.0
86,202001-69,42,99.5,1.897,153.68819430230428,99.0
86,202001-69,43,101.625,2.572,156.26019430230428,99.5
86,202001-69,44,102.75,2.442,158.7021943023043,101.625
86,202001-69,45,103.0,2.289,160.99119430230428,102.75
