age,dfi
1,0.67
2,0.868
3,1.124
4,1.324
5,1.255
6,2.205
7,1.303
8,1.736
9,1.462
10,1.59
11,1.749
12,1.981
13,1.99
14,2.126
15,2.153
16,2.185
17,2.211
18,2.106
19,2.219
20,2.267
21,2.24
22,2.355
23,2.38
24,2.368
25,2.29
26,2.249
27,2.384
28,2.412
29,2.405
30,2.43
31,2.38
32,2.407
33,2.377
34,2.376
35,2.491
36,2.564
37,2.542
38,2.648
39,2.664
40,2.661
41,2.53
42,2.6
43,2.528
44,1.798
45,1.835
46,2.279
47,2.369
48,2.251
49,2.597
50,2.552
51,2.798
52,2.768
53,3.024
54,3.168
55,2.941
56,2.887
57,3.169
58,2.751
59,2.854
60,2.381
61,2.009
62,2.239
63,2.219
64,2.32
65,2.544
66,2.426
67,2.079
68,2.51
69,2.411
70,2.459
71,2.474
72,2.482
73,2.552
74,2.529
75,2.586
76,2.61
77,2.652
78,2.646
79,2.672
80,2.695
81,2.704
82,2.722
83,2.765
84,2.779
85,2.765
86,2.797
87,2.797
88,2.797
89,2.797
90,2.797
91,2.808
92,2.797
93,2.808
94,2.808
95,2.808
96,2.808
97,2.808
98,2.808
99,2.808
100,2.808
101,2.808
