age,dfi
1,1.307
2,0.968
3,1.218
4,1.695
5,1.547
6,1.811
7,1.854
8,1.781
9,1.708
10,1.736
11,1.902
12,1.905
13,2.042
14,2.146
15,1.931
16,1.938
17,1.962
18,1.957
19,1.888
20,1.936
21,1.946
22,1.863
23,1.744
24,2.037
25,2.059
26,2.114
27,2.097
28,2.178
29,2.201
30,2.035
31,2.09
32,2.249
33,2.318
34,2.29
35,2.218
36,2.268
37,2.412
38,2.477
39,2.635
40,2.597
41,2.534
42,2.394
43,2.463
44,2.49
45,2.554
46,2.61
47,2.61
48,2.617
49,2.592
50,2.702
51,2.65
52,2.704
53,2.865
54,2.588
55,2.833
56,2.496
57,2.561
58,2.705
59,2.818
60,2.868
61,2.761
62,2.72
63,2.963
64,3.08
65,3.049
66,2.915
67,2.217
68,3.101
69,3.15
70,3.107
71,2.967
72,3.325
73,3.15
74,3.118
75,3.158
76,3.458
77,3.341
78,3.285
79,3.393
80,3.383
81,3.381
82,3.443
83,3.519
84,3.522
85,3.499
86,3.53
87,3.53
88,3.53
89,3.533
90,3.543
91,3.543
92,3.543
93,3.543
94,3.543
95,3.543
96,3.543
97,3.543
98,3.543
99,3.543
100,3.543
101,3.543
