age,dfi
1,1.136
2,0.855
3,0.591
4,1.071
5,1.201
6,0.823
7,1.338
8,1.377
9,1.353
10,1.497
11,1.534
12,1.542
13,1.351
14,1.505
15,1.543
16,1.744
17,1.836
18,1.651
19,1.67
20,1.637
21,1.78
22,1.814
23,1.881
24,1.949
25,1.867
26,1.888
27,1.906
28,1.904
29,1.912
30,1.977
31,1.932
32,1.966
33,1.922
34,1.973
35,2.104
36,2.072
37,2.068
38,2.034
39,2.047
40,2.215
41,2.264
42,2.218
43,2.202
44,2.331
45,2.267
46,2.283
47,2.354
48,2.491
49,2.577
50,2.365
51,2.474
52,2.612
53,2.612
54,2.597
55,2.519
56,2.607
57,2.661
58,2.533
59,2.421
60,2.552
61,2.544
62,2.627
63,2.55
64,2.611
65,2.675
66,2.6
67,2.282
68,2.279
69,2.369
70,2.556
71,2.641
72,2.572
73,2.59
74,2.621
75,2.656
76,2.667
77,2.686
78,2.699
79,2.721
80,2.731
81,2.755
82,2.755
83,2.755
84,2.738
85,2.755
86,2.754
87,2.754
88,2.728
89,2.744
90,2.744
91,2.754
92,2.728
93,2.744
94,2.744
95,2.754
96,2.728
97,2.744
98,2.744
99,2.754
100,2.728
101,2.744
