age,dfi
1,0.796
2,0.73
3,1.311
4,1.014
5,1.06
6,0.713
7,1.362
8,1.367
9,1.406
10,1.444
11,1.557
12,1.577
13,1.531
14,1.57
15,1.737
16,1.692
17,1.637
18,1.706
19,1.673
20,1.819
21,1.833
22,1.847
23,1.789
24,1.752
25,1.836
26,1.839
27,1.762
28,1.837
29,1.827
30,1.812
31,1.84
32,1.747
33,1.855
34,1.882
35,1.9
36,1.984
37,2.077
38,1.944
39,1.932
40,2.064
41,2.121
42,2.249
43,2.234
44,2.216
45,2.246
46,2.127
47,2.233
48,2.446
49,2.577
50,2.583
51,2.519
52,2.636
53,2.581
54,2.567
55,2.666
56,2.714
57,2.549
58,2.598
59,2.616
60,2.539
61,2.671
62,2.667
63,2.709
64,2.544
65,2.686
66,2.559
67,2.616
68,2.826
69,2.588
70,2.823
71,2.868
72,3.036
73,2.917
74,2.927
75,2.938
76,3.02
77,3.048
78,3.039
79,3.05
80,2.965
81,3.088
82,3.093
83,3.075
84,3.037
85,3.011
86,3.017
87,3.024
88,3.022
89,3.012
90,3.004
91,2.991
92,2.991
93,2.991
94,2.991
95,2.991
96,2.991
97,2.991
98,2.993
99,2.993
100,2.993
101,2.993
