age,dfi
1,1.002
2,1.642
3,1.077
4,1.247
5,1.469
6,1.453
7,1.346
8,1.455
9,1.61
10,1.78
11,1.783
12,1.788
13,1.766
14,1.822
15,1.787
16,1.83
17,1.844
18,1.886
19,1.891
20,1.915
21,1.977
22,2.034
23,1.903
24,1.943
25,1.973
26,1.91
27,1.996
28,1.948
29,2.02
30,2.115
31,2.161
32,2.067
33,2.072
34,2.057
35,2.176
36,2.242
37,2.219
38,2.161
39,2.148
40,2.064
41,2.15
42,2.158
43,2.14
44,2.168
45,2.262
46,2.352
47,2.355
48,2.383
49,2.261
50,2.392
51,2.546
52,2.402
53,2.657
54,2.592
55,2.729
56,2.887
57,2.658
58,2.712
59,2.613
60,2.602
61,2.662
62,2.746
63,2.766
64,2.765
65,2.706
66,2.781
67,2.752
68,2.842
69,2.779
70,2.821
71,2.812
72,2.786
73,2.665
74,2.559
75,2.644
76,2.61
77,2.577
78,2.503
79,2.602
80,2.629
81,2.613
82,2.582
83,2.613
84,2.62
85,2.622
86,2.623
87,2.623
88,2.623
89,2.642
90,2.623
91,2.623
92,2.623
93,2.623
94,2.623
95,2.623
96,2.623
97,2.623
98,2.623
99,2.623
100,2.623
101,2.623
