age,dfi
1,1.209
2,1.558
3,1.564
4,1.279
5,1.569
6,1.575
7,1.823
8,1.671
9,1.705
10,1.538
11,1.667
12,1.849
13,1.859
14,1.921
15,1.957
16,1.964
17,2.031
18,2.071
19,2.109
20,2.198
21,2.155
22,2.167
23,2.2
24,2.054
25,2.175
26,2.229
27,2.283
28,2.229
29,2.321
30,2.231
31,2.289
32,2.249
33,2.315
34,2.334
35,2.331
36,2.282
37,2.225
38,2.3
39,2.466
40,2.302
41,2.246
42,2.353
43,2.318
44,2.335
45,2.215
46,2.266
47,2.269
48,2.264
49,2.259
50,2.263
51,2.404
52,2.415
53,2.545
54,2.453
55,2.682
56,2.581
57,2.46
58,2.872
59,2.661
60,2.663
61,2.716
62,2.713
63,2.808
64,2.9
65,2.572
66,2.721
67,2.773
68,2.685
69,2.743
70,2.642
71,2.781
72,3.055
73,2.95
74,2.926
75,2.927
76,3.003
77,2.982
78,2.958
79,3.013
80,3.075
81,3.049
82,3.006
83,3.025
84,2.916
85,3.005
86,2.964
87,2.982
88,2.961
89,2.982
90,2.961
91,2.992
92,2.961
93,2.992
94,2.961
95,2.987
96,2.961
97,2.987
98,2.961
99,2.992
100,2.961
101,2.992
