age,dfi
1,1.445
2,1.212
3,0.771
4,1.403
5,1.555
6,1.488
7,2.002
8,1.648
9,1.642
10,1.677
11,1.635
12,1.583
13,1.772
14,1.824
15,1.896
16,1.997
17,1.97
18,1.726
19,1.637
20,1.691
21,1.873
22,1.92
23,1.937
24,1.98
25,1.907
26,1.919
27,1.988
28,1.958
29,1.908
30,1.955
31,2.005
32,2.032
33,2.054
34,1.99
35,2.145
36,2.208
37,2.183
38,2.313
39,2.292
40,2.057
41,2.023
42,2.214
43,2.436
44,2.311
45,2.281
46,2.39
47,2.361
48,2.37
49,2.474
50,2.566
51,2.508
52,2.686
53,2.696
54,2.721
55,2.675
56,2.742
57,2.731
58,2.769
59,2.761
60,2.833
61,2.837
62,2.891
63,2.739
64,2.809
65,2.969
66,2.85
67,2.808
68,2.801
69,2.782
70,2.846
71,2.916
72,2.832
73,3.065
74,2.866
75,3.017
76,3.471
77,3.261
78,3.575
79,3.416
80,3.127
81,3.931
82,3.592
83,3.666
84,3.854
85,3.495
86,3.582
87,3.401
88,3.683
89,3.403
90,3.501
91,3.856
92,3.395
93,3.35
94,3.489
95,3.476
96,3.562
97,3.654
98,3.816
99,3.324
100,3.526
101,3.63
