id,Fattening_group.Pen,age,weight,dfi,cfi
83,202001-69,35,84.0,2.414,108.27854521378937
83,202001-69,36,84.5,2.499,110.77754521378937
83,202001-69,37,86.0,2.42,113.19754521378937
83,202001-69,38,87.5,2.153,115.35054521378937
83,202001-69,39,88.375,2.325,117.67554521378938
83,202001-69,40,89.0,2.321,119.99654521378937
83,202001-69,41,89.75,2.254,122.25054521378938
83,202001-69,42,89.0,2.163,124.41354521378938
83,202001-69,43,92.0,2.564,126.97754521378937
83,202001-69,44,92.75,2.335,129.31254521378938
83,202001-69,45,93.0,2.314,131.62654521378937
83,202001-69,46,95.0,2.374,134.00054521378937
83,202001-69,47,95.0,2.102,136.10254521378937
83,202001-69,48,96.0,2.643,138.74554521378937
83,202001-69,49,97.0,2.367,141.11254521378936
83,202001-69,50,97.25,2.213,143.32554521378935
83,202001-69,51,99.0,2.53,145.85554521378936
83,202001-69,52,99.0,1.799,147.65454521378936
83,202001-69,53,100.0,2.931,150.58554521378937
83,202001-69,54,102.0,2.811,153.39654521378938
83,202001-69,55,102.0,2.452,155.84854521378938
83,202001-69,56,102.5,2.657,158.5055452137894
83,202001-69,57,104.25,2.609,161.1145452137894
83,202001-69,58,105.5,2.036,163.1505452137894
83,202001-69,59,106.5,2.816,165.9665452137894
83,202001-69,60,107.5,2.536,168.5025452137894
83,202001-69,61,109.25,2.419,170.92154521378941
83,202001-69,62,110.25,2.229,173.15054521378943
83,202001-69,63,110.125,2.663,175.81354521378944
83,202001-69,64,112.0,2.72,178.53354521378944
83,202001-69,65,112.75,2.462,180.99554521378943
83,202001-69,66,113.0,2.398,183.39354521378942
83,202001-69,67,114.0,2.78,186.17354521378942
83,202001-69,68,116.0,3.183,189.35654521378942
83,202001-69,69,116.5,2.531,191.88754521378942
83,202001-69,70,120.25,2.592,194.47954521378944
83,202001-69,71,119.5,3.018,197.49754521378944
83,202001-69,72,120.25,2.799,200.29654521378944
83,202001-69,73,121.25,3.331,203.62754521378943
