age,dfi
1,0.654
2,1.22
3,1.227
4,1.292
5,1.115
6,1.867
7,1.24
8,1.737
9,1.58
10,1.737
11,1.619
12,1.572
13,1.513
14,1.534
15,1.543
16,1.53
17,1.542
18,1.823
19,1.985
20,1.952
21,1.786
22,2.329
23,1.983
24,2.137
25,2.233
26,2.21
27,2.247
28,2.364
29,2.132
30,2.248
31,2.485
32,2.35
33,2.255
34,2.274
35,2.357
36,2.017
37,2.441
38,2.192
39,2.181
40,2.603
41,2.329
42,2.327
43,2.12
44,2.445
45,2.574
46,2.661
47,2.424
48,2.433
49,2.483
50,2.421
51,2.191
52,2.081
53,2.078
54,2.023
55,2.209
56,1.958
57,2.572
58,2.011
59,2.677
60,2.3
61,2.348
62,2.681
63,2.548
64,2.956
65,2.529
66,2.903
67,2.344
68,3.027
69,2.991
70,2.249
71,2.874
72,2.542
73,3.373
74,1.988
75,3.096
76,2.638
77,2.615
78,2.936
79,2.89
80,2.861
81,2.443
82,2.763
83,2.679
84,2.681
85,2.75
86,2.762
87,2.794
88,2.836
89,2.79
90,2.784
91,2.818
92,2.794
93,2.791
94,2.813
95,2.797
96,2.79
97,2.807
98,2.797
99,2.796
100,2.802
