age,dfi
1,0.958
2,0.176
3,1.047
4,0.973
5,1.212
6,1.351
7,1.727
8,1.57
9,1.83
10,1.716
11,1.814
12,1.93
13,1.945
14,2.024
15,2.025
16,1.909
17,1.906
18,2.194
19,1.866
20,1.652
21,1.812
22,1.851
23,1.782
24,1.794
25,1.961
26,1.546
27,1.883
28,2.037
29,2.061
30,1.918
31,2.472
32,2.071
33,2.241
34,2.349
35,2.208
36,2.15
37,2.428
38,2.313
39,2.288
40,2.094
41,2.01
42,2.417
43,1.944
44,2.502
45,2.183
46,1.773
47,2.5
48,2.324
49,2.079
50,1.948
51,2.099
52,2.117
53,1.927
54,2.33
55,2.396
56,2.925
57,2.181
58,3.065
59,2.875
60,2.128
61,2.812
62,2.611
63,2.776
64,2.506
65,2.22
66,2.431
67,2.705
68,2.593
69,2.804
70,2.549
71,2.584
72,2.488
73,2.599
74,2.578
75,2.584
76,2.615
77,2.572
78,2.596
79,2.577
80,2.606
81,2.615
82,2.57
83,2.608
84,2.593
85,2.609
86,2.6
87,2.608
88,2.607
89,2.601
90,2.606
91,2.604
92,2.605
93,2.601
94,2.6
95,2.605
96,2.604
97,2.602
98,2.597
99,2.603
100,2.607
101,2.6
