age,dfi
1,1.921
2,1.493
3,1.821
4,1.802
5,1.991
6,1.745
7,2.117
8,1.691
9,2.16
10,1.964
11,2.093
12,2.057
13,1.916
14,1.965
15,2.215
16,2.023
17,1.988
18,1.787
19,2.039
20,2.038
21,2.053
22,2.161
23,1.955
24,2.154
25,2.113
26,2.108
27,2.129
28,2.037
29,2.168
30,2.142
31,2.176
32,2.257
33,2.369
34,2.477
35,2.308
36,2.395
37,2.787
38,2.801
39,2.44
40,2.764
41,2.581
42,2.725
43,2.555
44,2.696
45,2.824
46,2.641
47,2.731
48,2.247
49,3.078
50,2.884
51,2.616
52,2.944
53,2.79
54,2.668
55,2.967
56,2.823
57,2.84
58,2.934
59,2.962
60,2.755
61,3.034
62,2.666
63,2.83
64,2.684
65,2.798
66,2.623
67,3.018
68,3.044
69,2.806
70,3.065
71,3.006
72,2.915
73,3.039
74,2.923
75,2.918
76,2.969
77,2.918
78,2.864
79,2.892
80,2.876
81,2.857
82,2.847
83,2.804
84,2.815
85,2.815
86,2.803
87,2.807
88,2.809
89,2.804
90,2.805
91,2.806
92,2.804
93,2.804
94,2.804
95,2.803
96,2.801
97,2.801
98,2.8
99,2.8
100,2.8
