age,dfi
1,0.798
2,0.7
3,1.295
4,0.922
5,1.391
6,1.288
7,1.61
8,1.631
9,1.546
10,1.535
11,1.336
12,1.463
13,1.656
14,1.519
15,1.663
16,1.721
17,1.738
18,1.786
19,1.663
20,1.707
21,1.81
22,1.851
23,1.72
24,1.851
25,1.674
26,1.996
27,1.862
28,2.021
29,1.932
30,2.018
31,2.0
32,2.062
33,2.032
34,1.903
35,2.079
36,1.988
37,2.01
38,2.037
39,1.961
40,1.961
41,1.957
42,2.226
43,2.141
44,2.268
45,2.146
46,2.184
47,1.917
48,2.075
49,2.36
50,2.374
51,2.333
52,2.294
53,2.955
54,2.311
55,2.518
56,2.566
57,2.627
58,2.726
59,2.412
60,2.857
61,2.801
62,2.614
63,3.026
64,2.357
65,2.605
66,2.806
67,2.426
68,2.717
69,2.879
70,2.822
71,2.895
72,3.039
73,3.003
74,3.039
75,3.0
76,3.012
77,3.041
78,3.022
79,3.032
80,3.026
81,3.03
82,3.026
83,3.027
84,3.023
85,3.023
86,3.022
87,3.019
88,3.015
89,3.011
90,3.01
91,3.009
92,3.007
93,3.006
94,3.006
95,3.004
96,3.002
97,3.0
98,2.999
99,2.997
100,2.994
