age,dfi
1,0.541
2,1.596
3,1.391
4,2.001
5,1.35
6,2.304
7,1.802
8,1.936
9,2.173
10,2.094
11,2.298
12,2.161
13,2.165
14,2.228
15,2.3
16,2.396
17,2.264
18,2.454
19,2.509
20,2.351
21,2.411
22,2.294
23,2.528
24,2.514
25,2.696
26,2.903
27,2.371
28,2.721
29,2.564
30,2.669
31,2.423
32,2.653
33,2.444
34,2.623
35,2.484
36,2.584
37,2.566
38,2.929
39,2.726
40,2.843
41,2.92
42,2.665
43,2.7
44,2.785
45,2.796
46,2.774
47,2.967
48,2.768
49,3.115
50,2.917
51,3.309
52,3.44
53,3.501
54,2.551
55,3.413
56,2.888
57,2.731
58,2.407
59,2.028
60,2.508
61,1.643
62,2.616
63,2.425
64,2.562
65,2.92
66,3.034
67,3.608
68,3.514
69,3.297
70,3.734
71,3.372
72,3.374
73,3.213
74,3.545
75,3.544
76,3.264
77,3.639
78,3.317
79,3.386
80,3.34
81,3.432
82,3.431
83,3.32
84,3.468
85,3.289
86,3.338
87,3.295
88,3.344
89,3.352
90,3.279
91,3.372
92,3.245
93,3.296
94,3.242
95,3.282
96,3.288
97,3.232
98,3.289
99,3.224
100,3.232
