age,dfi
1,0.951
2,1.257
3,1.235
4,1.022
5,1.212
6,1.171
7,1.407
8,1.37
9,1.502
10,1.485
11,1.586
12,1.727
13,1.427
14,1.525
15,1.634
16,1.683
17,1.556
18,1.595
19,1.575
20,1.652
21,1.771
22,1.735
23,1.79
24,1.818
25,1.954
26,1.851
27,1.922
28,1.991
29,1.377
30,1.913
31,1.65
32,1.985
33,2.052
34,1.949
35,2.211
36,2.151
37,2.397
38,2.079
39,2.183
40,2.022
41,2.108
42,2.196
43,2.145
44,2.185
45,2.218
46,2.33
47,2.275
48,2.567
49,2.536
50,2.382
51,2.674
52,2.594
53,3.229
54,2.655
55,2.921
56,2.445
57,2.725
58,2.978
59,2.845
60,2.891
61,2.878
62,3.167
63,3.034
64,3.257
65,3.126
66,3.233
67,3.084
68,3.019
69,3.131
70,2.998
71,2.892
72,3.248
73,2.85
74,2.682
75,3.243
76,2.856
77,3.386
78,3.492
79,3.219
80,3.1
81,3.232
82,3.356
83,3.223
84,3.398
85,3.531
86,3.247
87,3.309
88,3.252
89,3.3
90,3.261
91,3.307
92,3.37
93,3.22
94,3.281
95,3.254
96,3.244
97,3.215
98,3.238
99,3.281
100,3.185
