age,dfi
1,1.281
2,1.547
3,0.558
4,0.83
5,1.675
6,1.591
7,1.387
8,1.855
9,1.854
10,1.842
11,1.887
12,1.933
13,1.957
14,1.203
15,1.3
16,1.085
17,1.639
18,1.577
19,1.64
20,1.728
21,1.916
22,2.039
23,2.042
24,2.103
25,2.213
26,2.196
27,2.06
28,2.183
29,2.056
30,2.295
31,2.205
32,2.215
33,2.331
34,2.52
35,2.176
36,2.447
37,2.277
38,2.231
39,2.272
40,2.358
41,2.206
42,2.439
43,2.274
44,2.39
45,2.474
46,2.536
47,2.492
48,2.218
49,2.561
50,2.353
51,2.375
52,2.4
53,2.65
54,2.442
55,2.447
56,2.527
57,2.387
58,1.99
59,2.4
60,2.265
61,2.581
62,2.571
63,2.474
64,2.531
65,2.018
66,2.53
67,2.237
68,2.306
69,2.336
70,2.38
71,2.413
72,2.265
73,2.391
74,2.325
75,2.373
76,2.315
77,2.403
78,2.377
79,2.34
80,2.437
81,2.327
82,2.409
83,2.314
84,2.396
85,2.365
86,2.371
87,2.442
88,2.323
89,2.461
90,2.332
91,2.414
92,2.363
93,2.399
94,2.453
95,2.376
96,2.541
97,2.43
98,2.497
99,2.503
100,2.574
