age,dfi
1,1.534
2,1.277
3,1.189
4,0.787
5,1.344
6,1.409
7,1.693
8,1.541
9,1.923
10,1.588
11,1.981
12,2.003
13,2.001
14,2.146
15,2.09
16,2.189
17,2.082
18,2.042
19,1.915
20,1.9
21,2.001
22,1.942
23,1.986
24,1.911
25,1.922
26,1.919
27,1.936
28,2.049
29,1.968
30,1.988
31,2.227
32,2.082
33,2.236
34,2.166
35,2.479
36,2.327
37,1.834
38,2.003
39,1.818
40,2.211
41,2.486
42,2.545
43,2.554
44,2.738
45,2.694
46,2.718
47,2.82
48,2.713
49,2.75
50,2.667
51,2.754
52,2.729
53,2.556
54,2.656
55,2.598
56,2.448
57,2.51
58,2.193
59,2.297
60,2.183
61,2.38
62,2.385
63,2.451
64,2.621
65,2.337
66,2.205
67,1.885
68,2.757
69,2.259
70,2.758
71,2.536
72,2.403
73,2.414
74,2.5
75,2.588
76,2.522
77,2.559
78,2.607
79,2.592
80,2.59
81,2.58
82,2.596
83,2.592
84,2.582
85,2.602
86,2.601
87,2.6
88,2.598
89,2.602
90,2.601
91,2.6
92,2.602
93,2.602
94,2.601
95,2.601
96,2.602
97,2.602
98,2.601
99,2.601
100,2.602
101,2.602
