age,value
1,2.345
2,1.234
3,0.565
4,3.234
5,2.345
6,1.234
7,0.565
8,3.234
9,2.345
10,1.234
11,0.565
12,3.234
13,2.345
14,1.234
15,0.565
16,3.234
17,2.345
18,1.234
19,0.565
20,3.234
21,2.345
22,1.234
23,0.565
24,3.234
25,2.345
26,1.234
27,0.565
28,3.234
29,2.345
30,1.234
31,0.565
32,3.234
33,2.345
34,1.234
35,0.565
36,3.234
37,2.345
38,1.234
39,0.565
40,3.234
41,2.345
42,1.234
43,0.565
44,3.234
45,2.345
46,1.234
47,0.565
48,3.234
49,2.345
50,1.234
51,0.565
52,3.234
53,2.345
54,1.234
55,0.565
56,3.234
57,2.345
58,1.234
59,0.565
60,3.234
61,2.345
62,1.234
63,0.565
64,3.234
65,2.345
66,1.234
67,0.565
68,3.234
69,2.345
70,1.234
71,0.565
72,3.234
73,2.345
74,1.234
75,0.565
76,3.234
77,2.345
78,1.234
79,0.565
80,3.234
81,2.345
82,1.234
83,0.565
84,3.234
85,2.345
86,1.234
87,0.565
88,3.234
89,2.345
90,1.234
91,0.565
92,3.234
93,2.345
94,1.234
95,0.565
96,3.234
97,2.345
98,1.234
99,0.565
100,3.234





