age,weight
1,27.121
2,27.86
3,28.63
4,29.441
5,30.045
6,30.964
7,31.992
8,32.971
9,33.803
10,34.957
11,35.864
12,36.859
13,37.608
14,38.564
15,39.471
16,40.834
17,41.883
18,43.1
19,44.145
20,45.048
21,45.852
22,46.884
23,48.133
24,49.444
25,50.928
26,52.209
27,53.431
28,54.581
29,55.84
30,56.908
31,58.24
32,59.559
33,60.754
34,62.117
35,63.388
36,64.595
37,66.03
38,67.289
39,68.617
40,69.932
41,71.274
42,72.58
43,74.17
44,75.458
45,76.534
46,77.688
47,78.524
48,79.206
49,79.936
50,81.201
51,82.67
52,84.071
53,85.466
54,86.594
55,88.193
56,89.899
57,91.078
58,92.564
59,93.732
60,94.95
61,96.101
62,97.028
63,97.86
64,99.283
65,100.724
66,101.56
67,102.787
68,103.764
69,104.182
70,105.142
71,106.056
72,107.029
73,107.973
74,108.952
75,109.916
76,110.842
77,111.823
78,112.799
79,113.789
80,114.782
81,115.782
82,116.786
83,117.79
84,118.802
85,119.818
86,120.837
87,121.859
88,122.885
89,123.914
90,124.947
91,125.981
92,127.018
93,128.056
94,129.094
95,130.135
96,131.177
97,132.223
98,133.268
99,134.314
100,135.361
101,136.408
