age,weight
1,27.75
2,28.382
3,28.872
4,29.617
5,30.428
6,31.033
7,31.91
8,32.793
9,33.556
10,34.606
11,35.429
12,36.223
13,37.146
14,38.046
15,39.223
16,40.085
17,41.141
18,41.956
19,42.947
20,43.959
21,45.009
22,46.157
23,47.153
24,48.113
25,49.228
26,50.191
27,51.055
28,52.215
29,53.189
30,54.162
31,55.16
32,56.066
33,57.21
34,58.187
35,59.305
36,60.206
37,61.156
38,62.223
39,63.428
40,64.344
41,65.275
42,66.484
43,67.598
44,68.585
45,69.817
46,70.924
47,72.254
48,73.208
49,74.262
50,75.63
51,76.78
52,78.031
53,79.017
54,80.101
55,81.422
56,82.531
57,83.622
58,84.516
59,85.736
60,86.742
61,87.849
62,88.916
63,90.054
64,91.292
65,92.068
66,92.862
67,93.539
68,94.534
69,95.638
70,96.651
71,97.708
72,98.725
73,99.758
74,100.791
75,101.849
76,102.922
77,103.998
78,105.083
79,106.168
80,107.261
81,108.356
82,109.458
83,110.566
84,111.677
85,112.792
86,113.911
87,115.033
88,116.158
89,117.284
90,118.412
91,119.539
92,120.668
93,121.798
94,122.927
95,124.059
96,125.191
97,126.322
98,127.453
99,128.586
100,129.719
101,130.848
