age,weight
1,41.5
2,42.275
3,42.972
4,43.859
5,44.895
6,45.93
7,46.892
8,47.748
9,48.568
10,49.416
11,50.355
12,51.073
13,51.701
14,52.647
15,53.252
16,54.014
17,54.604
18,55.465
19,56.351
20,57.32
21,58.36
22,59.348
23,60.611
24,61.523
25,62.561
26,63.496
27,64.685
28,65.689
29,66.859
30,67.86
31,68.874
32,70.15
33,71.216
34,72.127
35,73.266
36,74.136
37,75.243
38,76.159
39,77.301
40,78.487
41,79.344
42,80.338
43,81.447
44,82.285
45,83.338
46,84.417
47,85.639
48,86.534
49,87.648
50,88.691
51,89.846
52,91.014
53,92.188
54,92.974
55,93.979
56,94.829
57,95.868
58,96.918
59,97.637
60,97.987
61,99.173
62,99.748
63,101.136
64,101.96
65,103.287
66,104.363
67,104.096
68,105.482
69,106.474
70,107.704
71,108.735
72,109.794
73,110.809
74,111.719
75,112.772
76,113.779
77,114.815
78,115.836
79,116.857
80,117.875
81,118.884
82,119.905
83,120.921
84,121.941
85,122.961
86,123.98
87,124.997
88,126.015
89,127.034
90,128.053
91,129.072
92,130.092
93,131.112
94,132.132
95,133.152
96,134.173
97,135.194
98,136.216
99,137.238
100,138.261
101,139.283
