age,weight
1,42.5
2,43.157
3,43.996
4,44.606
5,45.361
6,46.159
7,46.803
8,47.33
9,47.975
10,48.536
11,49.25
12,50.033
13,50.56
14,51.352
15,51.856
16,52.5
17,53.32
18,54.22
19,55.025
20,56.053
21,56.916
22,57.6
23,58.727
24,59.687
25,60.611
26,61.456
27,62.701
28,63.275
29,64.415
30,65.158
31,66.229
32,67.445
33,68.099
34,69.26
35,70.066
36,70.73
37,71.645
38,72.789
39,73.444
40,74.45
41,75.428
42,76.26
43,77.288
44,77.763
45,78.711
46,78.737
47,79.486
48,80.518
49,81.449
50,82.364
51,83.11
52,84.315
53,85.456
54,86.563
55,87.908
56,89.113
57,90.523
58,91.331
59,92.189
60,93.354
61,95.046
62,96.272
63,97.49
64,98.619
65,100.046
66,101.49
67,102.824
68,104.296
69,105.545
70,106.725
71,107.939
72,109.142
73,110.338
74,111.517
75,112.692
76,113.839
77,114.973
78,116.098
79,117.215
80,118.325
81,119.425
82,120.515
83,121.598
84,122.672
85,123.742
86,124.805
87,125.865
88,126.92
89,127.969
90,129.014
91,130.055
92,131.094
93,132.13
94,133.163
95,134.194
96,135.222
97,136.248
98,137.272
99,138.293
100,139.315
101,140.332
