age,weight
1,31.0
2,31.474
3,31.988
4,32.545
5,33.915
6,34.802
7,35.158
8,36.167
9,38.012
10,39.272
11,40.205
12,41.026
13,41.286
14,42.653
15,43.507
16,44.408
17,45.414
18,46.256
19,46.971
20,47.826
21,48.62
22,49.383
23,50.367
24,51.439
25,52.512
26,53.725
27,54.786
28,56.049
29,57.069
30,58.526
31,59.857
32,60.945
33,62.276
34,63.654
35,64.879
36,66.081
37,67.372
38,68.692
39,69.893
40,71.136
41,72.697
42,73.684
43,75.215
44,76.147
45,77.424
46,78.461
47,79.479
48,80.56
49,81.538
50,82.5
51,83.554
52,84.918
53,86.152
54,87.332
55,88.498
56,89.869
57,91.256
58,92.395
59,93.849
60,95.573
61,96.866
62,98.035
63,99.13
64,100.69
65,101.87
66,103.312
67,105.021
68,106.589
69,107.911
70,109.644
71,111.013
72,112.395
73,113.739
74,115.067
75,116.356
76,117.608
77,118.874
78,120.092
79,121.293
80,122.472
81,123.634
82,124.78
83,125.907
84,127.022
85,128.122
86,129.212
87,130.291
88,131.359
89,132.418
90,133.468
91,134.511
92,135.547
93,136.573
94,137.596
95,138.612
96,139.624
97,140.63
98,141.631
99,142.628
100,143.623
101,144.614
