age,weight
1,27.5
2,28.455
3,29.366
4,30.438
5,31.267
6,31.877
7,32.718
8,33.571
9,34.432
10,35.474
11,36.609
12,37.761
13,38.816
14,39.769
15,40.947
16,42.045
17,43.178
18,44.142
19,45.518
20,46.834
21,48.153
22,49.341
23,50.466
24,51.646
25,52.859
26,54.003
27,54.956
28,56.108
29,57.373
30,58.591
31,59.81
32,60.96
33,62.144
34,63.26
35,64.15
36,65.302
37,66.221
38,67.27
39,68.163
40,69.114
41,70.077
42,71.08
43,72.454
44,73.555
45,74.59
46,75.586
47,76.502
48,77.592
49,78.44
50,79.207
51,80.136
52,81.358
53,82.362
54,83.545
55,84.397
56,85.544
57,86.794
58,87.872
59,88.985
60,90.369
61,91.422
62,92.552
63,93.713
64,94.675
65,95.692
66,96.851
67,97.881
68,98.907
69,99.979
70,101.117
71,102.596
72,103.798
73,105.014
74,105.937
75,107.213
76,108.533
77,109.72
78,110.942
79,112.115
80,113.282
81,114.423
82,115.583
83,116.741
84,117.885
85,119.023
86,120.151
87,121.276
88,122.391
89,123.507
90,124.618
91,125.726
92,126.831
93,127.93
94,129.026
95,130.12
96,131.21
97,132.302
98,133.389
99,134.474
100,135.556
101,136.634
