age,weight
1,34.5
2,35.234
3,36.104
4,37.142
5,38.021
6,39.278
7,40.064
8,41.369
9,42.603
10,43.436
11,44.69
12,46.034
13,47.179
14,48.241
15,49.394
16,50.748
17,51.85
18,53.14
19,54.265
20,55.167
21,56.353
22,57.392
23,58.35
24,59.417
25,60.576
26,61.882
27,62.891
28,63.987
29,65.229
30,66.438
31,67.569
32,68.638
33,69.844
34,70.895
35,72.039
36,73.48
37,74.579
38,76.121
39,76.808
40,77.742
41,79.082
42,80.281
43,81.497
44,82.832
45,84.357
46,85.456
47,86.46
48,87.695
49,88.717
50,90.271
51,91.639
52,92.677
53,93.824
54,95.247
55,96.552
56,97.904
57,99.241
58,100.348
59,101.371
60,102.672
61,103.822
62,105.319
63,106.416
64,107.617
65,109.059
66,110.527
67,111.724
68,112.679
69,114.482
70,115.657
71,116.939
72,118.161
73,119.362
74,120.524
75,121.646
76,122.814
77,123.916
78,125.017
79,126.097
80,127.16
81,128.214
82,129.256
83,130.291
84,131.311
85,132.322
86,133.324
87,134.319
88,135.307
89,136.29
90,137.264
91,138.234
92,139.199
93,140.158
94,141.113
95,142.065
96,143.015
97,143.961
98,144.905
99,145.847
100,146.787
101,147.725
