age,weight
1,38.0
2,38.858
3,39.561
4,40.452
5,41.13
6,41.94
7,42.791
8,43.575
9,44.419
10,45.61
11,46.641
12,47.483
13,48.359
14,49.424
15,50.334
16,51.103
17,52.248
18,53.213
19,54.233
20,55.178
21,56.132
22,57.205
23,58.341
24,59.468
25,59.821
26,60.547
27,61.543
28,62.73
29,63.69
30,64.675
31,65.613
32,66.553
33,67.494
34,68.363
35,69.289
36,70.108
37,71.094
38,72.174
39,73.09
40,73.916
41,75.302
42,76.29
43,77.446
44,78.452
45,79.621
46,80.706
47,81.656
48,82.959
49,84.096
50,85.298
51,86.376
52,87.326
53,88.436
54,89.488
55,90.551
56,91.8
57,92.685
58,93.565
59,94.543
60,96.071
61,96.986
62,97.809
63,98.783
64,99.669
65,100.233
66,101.189
67,102.157
68,103.248
69,104.443
70,105.472
71,106.515
72,107.522
73,108.553
74,109.582
75,110.628
76,111.679
77,112.72
78,113.765
79,114.804
80,115.846
81,116.888
82,117.929
83,118.972
84,120.015
85,121.058
86,122.1
87,123.141
88,124.182
89,125.224
90,126.267
91,127.31
92,128.353
93,129.396
94,130.442
95,131.485
96,132.529
97,133.573
98,134.624
99,135.676
100,136.73
101,137.784
