age,dfi
1,0.924
2,0.615
3,1.453
4,1.518
5,1.465
6,1.251
7,1.311
8,1.443
9,1.448
10,1.523
11,1.542
12,1.659
13,1.747
14,1.823
15,1.873
16,1.863
17,1.822
18,1.815
19,1.833
20,1.93
21,1.979
22,1.902
23,1.844
24,1.801
25,1.744
26,1.804
27,1.967
28,1.972
29,1.994
30,1.94
31,2.053
32,2.106
33,2.139
34,2.243
35,2.221
36,2.137
37,2.229
38,2.17
39,2.141
40,2.167
41,2.184
42,2.245
43,2.267
44,2.243
45,2.204
46,2.237
47,2.275
48,2.316
49,2.359
50,2.433
51,2.492
52,2.408
53,2.354
54,2.509
55,2.691
56,2.701
57,2.716
58,2.567
59,2.334
60,2.321
61,2.35
62,2.232
63,2.263
64,2.352
65,2.371
66,2.413
67,2.599
68,2.692
69,2.592
70,2.669
71,2.668
72,2.732
73,2.79
74,2.818
75,2.722
76,2.712
77,2.653
78,2.58
79,2.66
80,2.814
81,2.846
82,2.843
83,2.935
84,2.897
85,2.998
86,3.0
87,3.041
88,3.071
89,3.095
90,3.127
91,3.148
92,3.177
93,3.2
94,3.224
95,3.247
96,3.269
97,3.292
98,3.313
99,3.335
100,3.356
101,3.376
