age,dfi
1,1.413
2,1.361
3,1.559
4,1.52
5,1.508
6,1.895
7,1.325
8,1.634
9,1.679
10,1.786
11,1.913
12,2.005
13,1.955
14,1.877
15,1.866
16,1.861
17,1.949
18,1.943
19,2.019
20,2.054
21,2.104
22,2.044
23,2.076
24,2.093
25,2.044
26,2.171
27,2.413
28,2.398
29,2.259
30,2.07
31,2.287
32,2.353
33,2.382
34,2.451
35,2.366
36,2.288
37,2.379
38,2.41
39,2.425
40,2.277
41,2.269
42,2.24
43,2.266
44,2.269
45,2.256
46,2.244
47,2.166
48,2.146
49,2.344
50,2.432
51,2.264
52,2.293
53,2.325
54,2.489
55,2.676
56,2.572
57,2.577
58,2.831
59,2.812
60,2.667
61,2.758
62,2.632
63,2.591
64,2.571
65,2.578
66,2.739
67,2.949
68,2.781
69,2.783
70,2.703
71,2.821
72,2.93
73,2.939
74,2.929
75,2.972
76,2.955
77,3.004
78,3.008
79,3.032
80,3.05
81,3.068
82,3.088
83,3.106
84,3.126
85,3.145
86,3.164
87,3.183
88,3.202
89,3.222
90,3.241
91,3.261
92,3.28
93,3.299
94,3.319
95,3.338
96,3.358
97,3.377
98,3.397
99,3.416
100,3.435
101,3.455
