age,dfi
1,1.734
2,1.564
3,1.487
4,1.657
5,1.5
6,1.814
7,1.469
8,1.652
9,1.655
10,1.687
11,1.77
12,1.8
13,1.795
14,1.77
15,1.908
16,1.849
17,1.829
18,1.879
19,1.923
20,1.902
21,1.813
22,1.9
23,1.957
24,2.051
25,2.091
26,2.069
27,2.01
28,1.922
29,2.081
30,2.038
31,2.101
32,2.082
33,2.04
34,2.026
35,2.007
36,2.123
37,2.132
38,2.224
39,2.232
40,2.212
41,2.227
42,2.317
43,2.227
44,2.167
45,2.258
46,2.152
47,2.173
48,2.337
49,2.354
50,2.469
51,2.598
52,2.533
53,2.566
54,2.602
55,2.533
56,2.66
57,2.597
58,2.634
59,2.599
60,2.605
61,2.408
62,2.466
63,2.762
64,2.879
65,2.957
66,2.96
67,2.887
68,2.26
69,2.668
70,2.952
71,2.967
72,2.998
73,3.048
74,2.973
75,3.031
76,3.012
77,3.036
78,3.044
79,3.058
80,3.075
81,3.089
82,3.107
83,3.124
84,3.142
85,3.16
86,3.178
87,3.197
88,3.216
89,3.235
90,3.254
91,3.273
92,3.292
93,3.312
94,3.331
95,3.35
96,3.37
97,3.389
98,3.409
99,3.428
100,3.448
101,3.467
