age,dfi
1,1.791
2,1.203
3,1.28
4,1.451
5,1.366
6,1.45
7,1.483
8,1.558
9,1.631
10,1.652
11,1.676
12,1.75
13,1.837
14,1.862
15,1.828
16,1.74
17,1.747
18,1.87
19,1.888
20,1.92
21,1.871
22,1.744
23,1.822
24,1.862
25,1.857
26,1.849
27,1.837
28,1.79
29,1.955
30,1.959
31,1.999
32,2.127
33,2.291
34,2.252
35,2.207
36,2.153
37,2.279
38,2.452
39,2.529
40,2.475
41,2.447
42,2.555
43,2.68
44,2.689
45,2.543
46,2.675
47,2.748
48,2.622
49,2.691
50,2.887
51,2.986
52,2.901
53,2.76
54,2.655
55,2.677
56,2.612
57,2.773
58,2.971
59,2.818
60,2.701
61,2.275
62,2.288
63,2.711
64,2.842
65,2.888
66,3.082
67,3.017
68,2.504
69,2.667
70,2.981
71,3.118
72,3.125
73,3.142
74,3.046
75,3.083
76,3.052
77,3.068
78,3.067
79,3.075
80,3.088
81,3.098
82,3.113
83,3.127
84,3.144
85,3.16
86,3.178
87,3.195
88,3.213
89,3.232
90,3.25
91,3.269
92,3.288
93,3.307
94,3.326
95,3.346
96,3.365
97,3.384
98,3.404
99,3.423
100,3.443
101,3.462
