age,dfi
1,1.207
2,1.593
3,1.768
4,1.511
5,1.244
6,1.042
7,1.124
8,1.35
9,1.328
10,1.302
11,1.31
12,1.376
13,1.346
14,1.423
15,1.601
16,1.704
17,1.693
18,1.69
19,1.766
20,1.85
21,1.867
22,1.839
23,1.93
24,2.043
25,2.148
26,2.101
27,2.075
28,2.206
29,2.309
30,2.247
31,1.93
32,1.769
33,1.908
34,2.013
35,2.175
36,2.284
37,2.291
38,2.361
39,2.339
40,2.335
41,2.407
42,2.358
43,2.401
44,2.533
45,2.544
46,2.575
47,2.636
48,2.712
49,2.7
50,2.636
51,2.493
52,2.521
53,2.485
54,2.582
55,2.596
56,2.544
57,2.809
58,2.967
59,3.186
60,3.358
61,3.265
62,2.978
63,2.929
64,2.913
65,3.016
66,3.061
67,2.851
68,2.435
69,2.452
70,2.69
71,2.904
72,2.974
73,2.947
74,2.934
75,2.966
76,2.978
77,3.006
78,3.015
79,3.035
80,3.051
81,3.068
82,3.086
83,3.104
84,3.123
85,3.141
86,3.159
87,3.178
88,3.196
89,3.215
90,3.234
91,3.253
92,3.272
93,3.291
94,3.31
95,3.329
96,3.348
97,3.367
98,3.386
99,3.405
100,3.424
101,3.443
