age,dfi
1,1.313
2,1.262
3,1.53
4,1.602
5,1.357
6,1.532
7,1.441
8,1.562
9,1.644
10,1.738
11,1.787
12,1.749
13,1.757
14,1.729
15,1.79
16,1.846
17,1.849
18,1.807
19,1.835
20,1.815
21,1.887
22,1.933
23,1.978
24,1.887
25,2.067
26,2.109
27,2.041
28,2.086
29,2.15
30,2.151
31,2.175
32,2.141
33,2.142
34,2.038
35,1.91
36,2.012
37,2.121
38,2.203
39,2.356
40,2.252
41,2.162
42,2.017
43,1.969
44,2.003
45,2.103
46,2.203
47,2.141
48,2.045
49,2.238
50,2.358
51,2.417
52,2.568
53,2.464
54,2.434
55,2.532
56,2.505
57,2.682
58,2.812
59,2.807
60,2.75
61,2.741
62,2.762
63,2.856
64,2.982
65,2.982
66,2.836
67,2.673
68,2.581
69,2.58
70,2.703
71,2.678
72,2.701
73,2.754
74,2.806
75,2.843
76,2.898
77,2.916
78,2.956
79,2.984
80,3.012
81,3.039
82,3.063
83,3.088
84,3.11
85,3.133
86,3.155
87,3.176
88,3.197
89,3.218
90,3.239
91,3.259
92,3.279
93,3.299
94,3.319
95,3.339
96,3.359
97,3.378
98,3.398
99,3.418
100,3.437
101,3.457
