age,dfi
1,1.622
2,1.493
3,1.603
4,1.642
5,1.607
6,1.764
7,1.676
8,1.733
9,1.714
10,1.639
11,1.565
12,1.651
13,1.743
14,1.684
15,1.717
16,1.731
17,1.681
18,1.682
19,1.649
20,1.585
21,1.563
22,1.608
23,1.754
24,1.813
25,1.875
26,1.917
27,1.916
28,1.925
29,1.963
30,1.999
31,2.005
32,1.972
33,2.04
34,2.116
35,2.129
36,2.047
37,1.918
38,1.967
39,2.047
40,2.064
41,2.097
42,2.093
43,2.094
44,2.145
45,2.118
46,2.062
47,2.001
48,1.969
49,1.92
50,1.855
51,1.935
52,2.114
53,2.28
54,2.34
55,2.332
56,2.287
57,2.357
58,2.45
59,2.473
60,2.414
61,2.452
62,2.516
63,2.38
64,2.317
65,2.312
66,2.216
67,2.199
68,2.38
69,2.397
70,2.409
71,2.373
72,2.37
73,2.603
74,2.81
75,2.618
76,2.605
77,2.451
78,2.384
79,2.528
80,2.602
81,2.611
82,2.718
83,2.691
84,2.791
85,2.822
86,2.871
87,2.913
88,2.949
89,2.989
90,3.019
91,3.055
92,3.085
93,3.116
94,3.145
95,3.173
96,3.2
97,3.226
98,3.251
99,3.275
100,3.299
101,3.322
