age,dfi
1,1.307
2,0.968
3,1.218
4,1.695
5,1.547
6,1.811
7,1.854
8,1.758
9,1.571
10,1.602
11,1.792
12,1.832
13,1.954
14,2.09
15,1.859
16,1.865
17,1.882
18,1.862
19,1.874
20,1.903
21,1.928
22,1.914
23,1.784
24,1.951
25,2.016
26,2.055
27,2.046
28,2.166
29,2.049
30,1.976
31,2.029
32,2.248
33,2.277
34,2.248
35,2.064
36,2.247
37,2.366
38,2.466
39,2.565
40,2.557
41,2.301
42,2.338
43,2.419
44,2.442
45,2.494
46,2.574
47,2.589
48,2.261
49,2.56
50,2.76
51,2.585
52,2.584
53,2.751
54,2.836
55,2.668
56,2.501
57,2.55
58,2.619
59,2.818
60,2.896
61,2.501
62,2.625
63,3.032
64,3.105
65,2.855
66,3.023
67,3.081
68,2.69
69,2.862
70,3.297
71,3.109
72,3.033
73,3.073
74,3.006
75,3.025
76,3.055
77,3.04
78,3.059
79,3.067
80,3.083
81,3.096
82,3.112
83,3.129
84,3.146
85,3.164
86,3.182
87,3.2
88,3.219
89,3.237
90,3.256
91,3.275
92,3.294
93,3.314
94,3.333
95,3.352
96,3.372
97,3.391
98,3.411
99,3.43
100,3.45
101,3.469
