age,dfi
1,0.52
2,1.367
3,0.994
4,1.792
5,1.946
6,1.976
7,1.89
8,1.807
9,1.796
10,1.831
11,1.977
12,1.941
13,2.024
14,2.063
15,1.987
16,2.0
17,2.007
18,2.044
19,1.863
20,1.904
21,2.024
22,1.996
23,2.061
24,2.101
25,2.185
26,2.187
27,1.848
28,1.839
29,1.996
30,2.028
31,2.086
32,2.018
33,2.093
34,2.294
35,2.417
36,2.408
37,2.501
38,2.452
39,2.624
40,2.682
41,2.636
42,2.842
43,2.919
44,2.98
45,2.957
46,2.968
47,3.036
48,3.037
49,3.11
50,3.095
51,3.145
52,3.289
53,3.137
54,3.069
55,3.211
56,3.188
57,3.113
58,3.252
59,3.258
60,2.96
61,3.2
62,3.426
63,3.434
64,3.406
65,3.566
66,3.388
67,3.403
68,3.3
69,3.132
70,3.273
71,3.312
72,3.192
73,3.186
74,3.14
75,3.111
76,3.118
77,3.104
78,3.108
79,3.11
80,3.118
81,3.127
82,3.138
83,3.152
84,3.166
85,3.182
86,3.198
87,3.215
88,3.233
89,3.251
90,3.27
91,3.288
92,3.307
93,3.326
94,3.346
95,3.365
96,3.385
97,3.404
98,3.424
99,3.443
100,3.463
101,3.483
