age,dfi
1,1.419
2,1.251
3,1.819
4,1.529
5,1.909
6,1.617
7,1.583
8,1.678
9,1.578
10,1.52
11,1.567
12,1.705
13,1.711
14,1.739
15,1.805
16,1.786
17,1.871
18,1.971
19,1.918
20,1.819
21,1.825
22,1.927
23,2.034
24,2.123
25,2.154
26,2.131
27,2.131
28,2.196
29,2.238
30,2.265
31,2.321
32,2.365
33,2.347
34,2.471
35,2.541
36,2.582
37,2.591
38,2.591
39,2.565
40,2.632
41,2.461
42,2.517
43,2.522
44,2.579
45,2.667
46,2.714
47,2.553
48,2.743
49,2.776
50,2.725
51,2.694
52,2.722
53,2.638
54,2.682
55,2.691
56,2.636
57,2.54
58,2.554
59,2.454
60,2.36
61,2.283
62,2.477
63,2.639
64,2.712
65,2.761
66,2.86
67,2.901
68,2.961
69,2.868
70,2.984
71,3.161
72,3.167
73,3.125
74,3.11
75,3.078
76,3.099
77,3.102
78,3.097
79,3.104
80,3.108
81,3.117
82,3.125
83,3.137
84,3.149
85,3.162
86,3.176
87,3.191
88,3.206
89,3.222
90,3.238
91,3.255
92,3.272
93,3.289
94,3.307
95,3.324
96,3.342
97,3.36
98,3.378
99,3.397
100,3.415
101,3.434
