age,dfi
1,0.541
2,1.596
3,1.391
4,2.001
5,1.35
6,2.304
7,1.802
8,1.823
9,1.951
10,2.023
11,2.053
12,2.059
13,2.088
14,2.026
15,2.12
16,2.173
17,2.191
18,2.182
19,2.211
20,2.293
21,2.283
22,2.18
23,2.175
24,2.293
25,2.369
26,2.443
27,2.576
28,2.552
29,2.439
30,2.443
31,2.481
32,2.402
33,2.406
34,2.399
35,2.433
36,2.439
37,2.425
38,2.428
39,2.592
40,2.656
41,2.642
42,2.696
43,2.654
44,2.581
45,2.634
46,2.678
47,2.612
48,2.696
49,2.846
50,2.806
51,2.959
52,3.104
53,3.111
54,3.175
55,2.897
56,2.839
57,2.92
58,2.775
59,2.538
60,2.354
61,1.973
62,1.998
63,2.392
64,2.977
65,3.203
66,3.054
67,2.938
68,3.24
69,3.422
70,3.277
71,3.156
72,3.118
73,3.074
74,3.077
75,3.076
76,3.058
77,3.067
78,3.069
79,3.078
80,3.087
81,3.099
82,3.113
83,3.128
84,3.144
85,3.16
86,3.178
87,3.195
88,3.213
89,3.232
90,3.25
91,3.269
92,3.288
93,3.307
94,3.326
95,3.345
96,3.365
97,3.384
98,3.403
99,3.423
100,3.442
101,3.462
