age,weight
1,32.0
2,33.062
3,34.0
4,34.938
5,35.5
6,35.75
7,36.5
8,38.562
9,38.938
10,39.75
11,41.188
12,41.25
13,42.312
14,42.625
15,43.25
16,43.875
17,43.75
18,44.875
19,46.407
20,46.875
21,46.75
22,47.875
23,49.688
24,50.0
25,51.5
26,52.375
27,53.562
28,54.531
29,55.172
30,55.875
31,56.188
32,57.0
33,58.562
34,57.782
35,59.25
36,60.375
37,62.0
38,62.562
39,63.812
40,64.399
41,65.554
42,66.75
43,67.625
44,68.625
45,69.938
46,71.875
47,72.125
48,71.844
49,72.938
50,72.75
51,74.5
52,75.812
53,76.75
54,78.531
55,79.531
56,80.656
57,82.562
58,82.719
59,83.312
60,85.289
61,84.969
62,85.969
63,85.812
64,87.375
65,89.188
66,89.188
67,90.5
68,92.312
69,93.75
70,94.125
71,95.625
72,97.312
73,97.986
74,99.781
75,100.75
76,102.125
77,103.16
78,103.688
79,105.288
80,108.52
81,110.412
82,113.715
83,115.125
84,115.125
85,115.125
86,115.125
87,114.507
88,114.425
89,113.812
90,113.812
91,113.812
92,113.812
93,125.037
94,128.625
95,128.625
96,128.625
97,128.625
98,128.625
99,128.625
100,128.625
101,128.625
