age,weight
1,36.0
2,37.0
3,37.0
4,37.125
5,37.75
6,38.5
7,39.75
8,41.625
9,41.75
10,43.0
11,44.0
12,44.487
13,45.072
14,45.375
15,46.75
16,48.5
17,49.75
18,51.125
19,51.625
20,52.375
21,52.5
22,53.25
23,54.25
24,55.25
25,56.5
26,57.688
27,58.25
28,59.312
29,60.0
30,60.25
31,60.5
32,60.375
33,62.0
34,63.0
35,64.25
36,66.0
37,66.75
38,68.0
39,69.0
40,70.0
41,70.625
42,72.5
43,74.5
44,75.562
45,76.25
46,76.562
47,76.5
48,76.375
49,76.75
50,77.375
51,78.5
52,80.0
53,81.5
54,81.875
55,83.0
56,83.25
57,84.875
58,86.625
59,88.875
60,89.0
61,90.0
62,92.125
63,92.375
64,92.25
65,93.125
66,93.875
67,94.582
68,95.75
69,96.625
70,97.938
71,100.375
72,101.375
73,102.312
74,104.875
75,104.5
76,106.0
77,107.562
78,107.672
79,107.344
80,107.766
81,110.263
82,113.553
83,115.125
84,115.125
85,115.125
86,115.125
87,114.582
88,114.412
89,113.812
90,113.812
91,113.812
92,113.812
93,123.07
94,128.625
95,128.625
96,128.625
97,128.625
98,128.625
99,128.625
100,128.625
101,128.625
