age,weight
1,35.0
2,38.875
3,39.375
4,40.5
5,42.75
6,43.25
7,43.875
8,44.75
9,45.5
10,46.625
11,47.75
12,48.75
13,49.5
14,50.625
15,51.593
16,52.0
17,53.0
18,53.75
19,55.125
20,55.75
21,56.5
22,56.75
23,57.125
24,57.25
25,57.625
26,58.75
27,59.875
28,61.0
29,62.25
30,63.581
31,64.875
32,65.23
33,65.612
34,66.25
35,67.0
36,68.25
37,69.5
38,70.312
39,71.75
40,73.188
41,74.938
42,76.438
43,77.188
44,78.75
45,79.375
46,80.0
47,81.375
48,83.25
49,84.5
50,85.875
51,86.125
52,86.875
53,88.125
54,88.625
55,90.0
56,90.5
57,91.0
58,92.625
59,93.0
60,94.375
61,95.125
62,96.75
63,99.0
64,99.625
65,100.0
66,100.312
67,100.375
68,102.375
69,104.125
70,104.906
71,105.375
72,107.0
73,107.935
74,109.204
75,110.084
76,111.375
77,112.125
78,113.094
79,113.094
80,114.469
81,115.125
82,115.125
83,115.125
84,115.125
85,115.125
86,115.125
87,114.633
88,114.305
89,113.977
90,113.812
91,113.812
92,113.812
93,121.219
94,128.625
95,128.625
96,128.625
97,128.625
98,128.625
99,128.625
100,128.625
101,128.625
