age,weight
1,35.25
2,37.438
3,38.782
4,39.313
5,40.094
6,41.188
7,43.266
8,44.375
9,44.675
10,45.415
11,46.75
12,48.141
13,48.969
14,49.375
15,50.5
16,51.312
17,52.438
18,53.5
19,54.305
20,55.375
21,55.375
22,57.156
23,58.312
24,59.0
25,59.438
26,60.703
27,61.375
28,62.625
29,63.219
30,64.469
31,64.46
32,65.308
33,65.868
34,67.0
35,68.023
36,68.68
37,70.0
38,71.002
39,71.841
40,71.781
41,72.562
42,73.75
43,74.547
44,75.785
45,76.344
46,76.594
47,76.5
48,76.938
49,77.562
50,78.312
51,79.812
52,81.156
53,82.609
54,82.233
55,83.656
56,84.438
57,85.219
58,86.582
59,88.688
60,89.125
61,90.016
62,91.516
63,94.07
64,95.266
65,96.188
66,97.781
67,98.75
68,100.0
69,102.312
70,103.188
71,104.18
72,104.0
73,105.406
74,105.437
75,104.5
76,106.188
77,107.525
78,107.682
79,107.476
80,107.616
81,110.24
82,113.778
83,115.125
84,115.125
85,115.125
86,115.125
87,114.582
88,114.414
89,113.812
90,113.812
91,113.812
92,113.812
93,126.773
94,128.625
95,128.625
96,128.625
97,128.625
98,128.625
99,128.625
100,128.625
101,128.625
