age,weight
1,31.0
2,32.125
3,33.0
4,34.156
5,35.468
6,35.562
7,36.312
8,38.171
9,38.843
10,39.625
11,40.875
12,41.0
13,42.062
14,42.188
15,42.875
16,43.25
17,44.125
18,44.938
19,45.594
20,46.5
21,48.0
22,48.875
23,49.438
24,49.812
25,51.625
26,51.688
27,52.75
28,54.0
29,54.25
30,54.938
31,55.656
32,56.062
33,56.656
34,57.805
35,59.25
36,60.188
37,62.375
38,62.562
39,63.5
40,63.438
41,63.812
42,65.625
43,66.656
44,67.625
45,67.719
46,69.219
47,70.688
48,71.312
49,72.906
50,72.875
51,74.312
52,76.0
53,77.625
54,78.0
55,79.516
56,80.312
57,82.688
58,82.375
59,84.062
60,85.375
61,84.25
62,86.656
63,89.95
64,91.125
65,91.367
66,91.554
67,94.553
68,94.906
69,96.719
70,97.953
71,100.246
72,101.441
73,102.3
74,104.972
75,104.5
76,106.25
77,107.474
78,107.719
79,107.483
80,107.646
81,110.221
82,113.817
83,115.125
84,115.125
85,115.125
86,115.125
87,114.569
88,114.401
89,113.812
90,113.812
91,113.812
92,113.812
93,124.459
94,128.625
95,128.625
96,128.625
97,128.625
98,128.625
99,128.625
100,128.625
101,128.625
