age,weight
1,34.25
2,35.375
3,35.25
4,35.5
5,36.188
6,37.156
7,37.5
8,38.0
9,38.625
10,39.5
11,40.562
12,41.188
13,42.498
14,43.25
15,43.875
16,43.875
17,44.25
18,44.875
19,46.407
20,47.125
21,47.75
22,48.625
23,48.812
24,49.5
25,51.625
26,52.188
27,53.391
28,54.609
29,54.508
30,55.218
31,55.812
32,56.062
33,56.75
34,57.511
35,58.531
36,59.562
37,61.625
38,62.062
39,63.812
40,64.094
41,64.226
42,65.875
43,67.438
44,68.312
45,68.438
46,69.438
47,70.875
48,71.375
49,72.812
50,72.719
51,74.5
52,76.0
53,76.375
54,78.344
55,79.531
56,80.672
57,82.594
58,82.938
59,83.469
60,85.109
61,85.125
62,87.812
63,89.766
64,90.75
65,90.859
66,91.109
67,94.231
68,95.312
69,97.281
70,98.156
71,100.117
72,101.382
73,102.254
74,104.484
75,104.359
76,106.375
77,107.378
78,107.714
79,107.542
80,107.726
81,110.234
82,113.769
83,115.125
84,115.125
85,115.125
86,115.125
87,114.515
88,114.422
89,113.812
90,113.812
91,113.812
92,113.812
93,124.459
94,128.625
95,128.625
96,128.625
97,128.625
98,128.625
99,128.625
100,128.625
101,128.625
