age,weight
1,60.29
2,60.493
3,61.139
4,61.927
5,63.014
6,63.463
7,64.323
8,64.429
9,65.371
10,65.917
11,66.709
12,67.548
13,68.118
14,69.167
15,69.808
16,70.668
17,71.608
18,72.448
19,72.961
20,73.927
21,74.268
22,74.629
23,75.296
24,75.983
25,76.991
26,77.838
27,78.805
28,79.685
29,80.335
30,81.236
31,81.751
32,82.711
33,83.474
34,84.553
35,85.745
36,86.346
37,87.276
38,88.13
39,88.889
40,89.605
41,90.466
42,92.047
43,92.525
44,94.045
45,94.468
46,95.861
47,97.057
48,97.953
49,98.924
50,99.901
51,100.57
52,101.411
53,103.045
54,103.953
55,104.722
56,105.457
57,106.38
58,106.727
59,106.92
60,106.949
61,107.682
62,108.591
63,109.102
64,109.368
65,109.43
66,109.703
67,111.781
68,113.707
69,114.195
70,115.853
71,116.656
72,117.648
73,119.356
74,119.761
75,120.872
76,121.627
77,123.087
78,125.014
79,127.54
80,129.502
81,131.459
82,132.401
83,132.262
84,132.552
85,132.558
86,132.565
87,132.557
88,132.545
89,132.492
90,132.408
91,132.519
92,132.494
93,132.522
94,132.519
95,132.519
96,132.519
97,132.519
98,132.89
99,132.399
100,132.942
101,132.901
