age,weight
1,35.0
2,37.917
3,39.049
4,39.784
5,40.963
6,42.105
7,42.956
8,44.134
9,45.204
10,46.47
11,47.546
12,48.365
13,49.282
14,50.23
15,50.775
16,51.394
17,52.301
18,53.131
19,53.969
20,54.8
21,56.078
22,57.06
23,57.957
24,58.741
25,59.213
26,59.927
27,60.962
28,62.037
29,62.531
30,63.89
31,64.935
32,66.009
33,66.481
34,67.613
35,68.61
36,69.05
37,70.239
38,70.966
39,71.746
40,73.331
41,74.243
42,74.727
43,75.422
44,76.359
45,77.204
46,77.938
47,79.107
48,80.239
49,81.221
50,82.624
51,83.942
52,84.99
53,86.022
54,86.479
55,87.841
56,88.9
57,89.471
58,90.475
59,91.354
60,91.58
61,93.248
62,95.039
63,95.638
64,96.998
65,98.207
66,99.034
67,100.189
68,101.092
69,102.295
70,103.62
71,104.39
72,104.871
73,105.313
74,106.641
75,107.19
76,108.68
77,109.461
78,109.777
79,111.721
80,114.379
81,116.27
82,117.664
83,119.767
84,122.027
85,124.317
86,126.529
87,128.049
88,130.557
89,132.068
90,132.184
91,132.23
92,132.23
93,131.97
94,132.104
95,131.924
96,132.184
97,132.15
98,131.97
99,132.184
100,131.97
101,131.924
