age,weight
1,36.5
2,37.554
3,38.582
4,39.237
5,40.179
6,40.712
7,41.799
8,42.683
9,43.61
10,45.046
11,45.584
12,46.404
13,47.712
14,48.35
15,49.168
16,50.101
17,50.79
18,51.329
19,52.511
20,53.732
21,54.706
22,55.361
23,55.869
24,56.649
25,57.397
26,58.351
27,59.312
28,60.256
29,60.548
30,61.568
31,62.199
32,63.558
33,64.72
34,66.011
35,66.913
36,67.862
37,68.323
38,69.321
39,70.194
40,70.878
41,71.598
42,72.62
43,74.132
44,74.644
45,75.312
46,76.135
47,76.822
48,77.446
49,78.668
50,79.827
51,79.942
52,81.168
53,82.397
54,83.915
55,84.312
56,85.439
57,86.322
58,86.65
59,86.914
60,88.158
61,88.569
62,89.139
63,90.155
64,91.437
65,92.158
66,93.254
67,94.676
68,95.61
69,96.468
70,97.448
71,98.226
72,99.465
73,100.403
74,101.055
75,101.774
76,102.491
77,102.897
78,103.746
79,104.984
80,106.892
81,107.733
82,109.415
83,110.343
84,112.405
85,114.567
86,116.575
87,118.764
88,120.684
89,122.792
90,124.457
91,126.87
92,128.45
93,130.183
94,131.808
95,132.225
96,132.225
97,132.281
98,132.214
99,132.488
100,132.214
101,132.214
