age,weight
1,28.5
2,29.46
3,30.013
4,30.663
5,31.532
6,32.752
7,33.426
8,34.223
9,35.324
10,36.075
11,36.876
12,37.588
13,38.559
14,39.565
15,40.715
16,41.631
17,42.606
18,43.649
19,45.476
20,46.834
21,47.604
22,48.197
23,49.608
24,50.097
25,51.184
26,51.91
27,52.823
28,54.46
29,55.523
30,56.097
31,56.85
32,57.467
33,58.512
34,59.457
35,60.332
36,61.142
37,62.399
38,63.528
39,64.314
40,65.17
41,66.141
42,66.858
43,68.103
44,69.141
45,70.259
46,71.268
47,72.21
48,73.152
49,74.529
50,75.423
51,76.554
52,77.574
53,78.732
54,80.187
55,81.215
56,82.758
57,83.281
58,84.74
59,86.07
60,86.989
61,87.957
62,89.192
63,90.297
64,91.806
65,93.53
66,94.856
67,95.958
68,97.691
69,98.763
70,99.423
71,100.483
72,100.322
73,100.763
74,101.558
75,103.037
76,104.522
77,105.396
78,106.693
79,107.494
80,109.687
81,110.028
82,111.898
83,114.113
84,116.552
85,118.893
86,121.052
87,122.612
88,124.105
89,125.491
90,127.552
91,129.78
92,132.102
93,132.179
94,132.177
95,132.169
96,132.177
97,132.169
98,132.179
99,132.169
100,132.179
101,132.179
