id,age,dfi,weight
74,3,1.464,62.203
74,4,1.524,63.159
74,5,1.847,64.115
74,6,1.642,65.071
74,7,1.829,66.0
74,8,1.569,67.0
74,9,1.796,67.75
74,10,1.863,69.0
74,11,1.817,69.5
74,12,2.041,71.0
74,13,1.824,72.25
74,14,2.221,73.0
74,15,2.084,73.0
74,16,1.972,74.5
74,17,2.189,75.0
74,18,1.879,76.5
74,19,1.737,77.0
74,20,2.244,78.0
74,21,1.891,79.0
74,22,2.236,80.0
74,23,2.21,80.5
74,24,2.265,81.0
74,25,2.255,82.0
74,26,2.274,83.5
74,27,1.827,83.5
74,28,2.331,85.0
74,29,2.702,86.5
74,30,2.594,87.5
74,31,2.492,89.5
74,32,2.844,90.0
74,33,2.588,90.5
74,34,2.743,93.0
74,35,2.383,93.0
74,36,2.314,93.25
74,37,2.646,94.5
74,38,2.331,95.5
74,39,2.606,97.0
74,40,2.935,98.5
74,41,2.361,99.5
74,42,2.968,100.0
74,43,2.903,102.0
74,44,3.282,102.25
74,45,2.214,103.0
74,46,2.989,104.5
74,47,2.599,105.75
74,48,2.806,106.0
74,49,2.536,108.0
74,50,2.688,108.0
74,51,2.683,108.5
74,52,2.794,109.5
74,53,3.08,109.75
74,54,2.687,111.5
74,55,2.683,112.5
74,56,3.124,113.25
74,57,2.513,114.0
74,58,2.322,115.0
74,59,2.641,115.75
74,60,2.795,118.0
74,61,2.894,119.0
74,62,2.918,120.75
74,63,3.239,120.0
74,64,2.934,120.75
74,65,2.85,122.5
74,66,3.009,122.75
74,67,3.293,124.0
74,68,3.186,124.5
74,69,2.97,126.5
74,70,2.704,126.25
74,71,3.344,127.25
74,72,2.816,128.0
74,73,2.317,128.75
74,74,3.01,129.0
74,75,2.553,129.5
74,76,3.05,130.75
3,1,1.203,44.5
3,2,2.11,47.5
3,3,1.884,47.5
3,4,2.285,49.0
3,5,2.589,50.75
3,6,1.916,52.0
3,7,1.7,53.0
3,8,2.545,54.0
3,9,2.228,55.5
3,10,2.326,56.5
3,11,2.31,57.0
3,12,2.738,58.5
3,13,2.135,60.0
3,14,2.704,60.5
3,15,2.254,61.0
3,16,2.224,62.5
