age,dfi
1,0.683
2,1.383
3,1.193
4,1.293
5,1.688
6,1.551
7,1.742
8,1.67
9,1.873
10,1.633
11,1.688
12,1.642
13,1.776
14,1.63
15,1.878
16,1.711
17,1.758
18,1.724
19,1.836
20,2.07
21,2.193
22,2.174
23,2.359
24,2.567
25,2.209
26,2.567
27,2.41
28,2.384
29,2.269
30,2.714
31,2.566
32,2.567
33,2.68
34,2.705
35,2.317
36,2.589
37,2.45
38,2.384
39,2.266
40,2.206
41,2.591
42,2.608
43,2.719
44,2.385
45,3.17
46,2.743
47,2.602
48,2.73
49,3.141
50,3.074
51,2.728
52,3.206
53,3.27
54,3.556
55,3.588
56,3.088
57,3.672
58,3.223
59,3.498
60,3.093
61,3.59
62,3.05
63,2.373
64,3.529
65,3.352
66,3.285
67,3.494
68,3.303
69,3.406
70,3.343
71,3.114
72,2.927
73,3.324
74,2.805
75,3.819
76,3.358
77,3.342
78,3.562
79,3.165
80,3.369
81,3.133
82,3.162
83,3.041
84,3.069
85,3.278
86,3.422
87,3.054
88,2.982
89,3.041
90,3.192
91,3.181
92,3.462
93,3.376
94,3.041
95,3.041
96,3.041
97,3.041
98,3.176
99,3.339
100,3.292
101,3.182
