age,dfi
1,1.531
2,1.468
3,1.395
4,1.722
5,1.264
6,0.846
7,1.3
8,1.334
9,1.402
10,1.596
11,1.724
12,1.583
13,1.518
14,1.781
15,2.102
16,2.024
17,2.006
18,1.921
19,2.085
20,2.246
21,2.465
22,2.168
23,2.262
24,2.33
25,2.275
26,2.416
27,2.283
28,2.144
29,2.356
30,2.515
31,2.475
32,2.593
33,2.404
34,2.165
35,2.237
36,2.244
37,2.103
38,2.272
39,1.914
40,2.182
41,2.166
42,2.27
43,2.478
44,2.352
45,2.324
46,2.168
47,2.184
48,2.226
49,2.193
50,2.214
51,2.362
52,2.613
53,2.268
54,2.644
55,2.25
56,2.77
57,2.486
58,2.602
59,2.928
60,2.958
61,2.306
62,2.084
63,2.741
64,2.492
65,2.416
66,2.789
67,2.636
68,2.772
69,2.871
70,2.79
71,3.511
72,2.833
73,2.877
74,2.612
75,3.173
76,3.257
77,3.095
78,3.222
79,3.186
80,3.363
81,3.15
82,3.18
83,3.041
84,3.062
85,3.293
86,3.416
87,3.054
88,2.984
89,3.041
90,3.192
91,3.181
92,3.463
93,3.376
94,3.041
95,3.041
96,3.041
97,3.041
98,3.176
99,3.339
100,3.292
101,3.182
