age,dfi
1,1.182
2,1.368
3,1.025
4,1.826
5,1.861
6,2.024
7,2.062
8,1.744
9,1.867
10,2.072
11,1.945
12,1.942
13,1.848
14,1.938
15,2.244
16,2.174
17,2.022
18,1.856
19,2.169
20,2.238
21,2.492
22,2.478
23,2.275
24,2.426
25,2.296
26,2.49
27,2.268
28,2.592
29,2.146
30,2.709
31,2.55
32,2.706
33,2.646
34,2.68
35,2.317
36,2.726
37,2.496
38,2.546
39,2.49
40,2.809
41,3.201
42,2.372
43,2.945
44,2.496
45,2.817
46,3.087
47,2.914
48,3.425
49,3.077
50,3.722
51,3.55
52,2.923
53,3.209
54,3.402
55,3.294
56,3.132
57,3.65
58,3.066
59,3.882
60,3.068
61,3.46
62,3.029
63,2.86
64,3.914
65,3.033
66,3.471
67,4.001
68,2.659
69,3.287
70,3.784
71,3.208
72,3.297
73,3.384
74,3.177
75,3.732
76,3.522
77,3.115
78,3.348
79,3.188
80,3.374
81,3.222
82,3.157
83,3.041
84,3.06
85,3.279
86,3.4
87,3.034
88,2.996
89,3.041
90,3.192
91,3.184
92,3.463
93,3.37
94,3.041
95,3.041
96,3.041
97,3.041
98,3.178
99,3.339
100,3.294
101,3.182
