age,dfi
1,1.338
2,1.599
3,2.131
4,1.635
5,1.66
6,1.858
7,1.904
8,2.12
9,1.904
10,2.066
11,2.031
12,2.267
13,1.679
14,2.167
15,2.184
16,2.168
17,2.135
18,2.461
19,2.532
20,2.262
21,2.629
22,2.542
23,2.16
24,2.473
25,2.338
26,2.368
27,2.574
28,2.475
29,1.684
30,2.7
31,1.939
32,2.002
33,2.404
34,2.146
35,2.449
36,2.306
37,1.824
38,2.047
39,2.543
40,2.317
41,2.599
42,2.625
43,2.55
44,2.832
45,2.644
46,2.731
47,2.578
48,3.108
49,3.034
50,2.319
51,2.875
52,2.112
53,3.05
54,2.62
55,2.46
56,3.028
57,3.221
58,3.272
59,3.852
60,2.985
61,3.654
62,2.802
63,3.33
64,3.227
65,2.945
66,1.895
67,3.08
68,3.204
69,2.614
70,2.638
71,3.082
72,2.876
73,3.256
74,3.026
75,3.252
76,2.744
77,3.028
78,2.982
79,3.254
80,3.36
81,3.296
82,3.212
83,3.041
84,3.045
85,3.33
86,3.362
87,3.21
88,2.939
89,3.041
90,3.306
91,3.254
92,3.404
93,3.38
94,3.041
95,3.041
96,3.041
97,3.041
98,3.182
99,3.339
100,3.29
101,3.186
