age,dfi
1,1.546
2,1.634
3,1.617
4,1.659
5,1.337
6,1.322
7,1.372
8,1.66
9,1.459
10,1.469
11,1.699
12,1.481
13,1.753
14,1.805
15,1.873
16,1.766
17,2.299
18,1.88
19,2.332
20,2.229
21,2.297
22,2.207
23,2.385
24,2.179
25,2.029
26,2.274
27,2.405
28,2.257
29,2.334
30,1.252
31,1.88
32,1.88
33,1.8
34,2.117
35,1.928
36,2.403
37,2.226
38,1.948
39,2.386
40,2.357
41,2.274
42,2.393
43,2.028
44,2.242
45,1.998
46,2.09
47,2.503
48,2.67
49,2.646
50,2.215
51,2.663
52,2.47
53,3.202
54,2.592
55,2.332
56,2.439
57,2.684
58,3.22
59,2.654
60,2.849
61,2.925
62,2.312
63,3.066
64,3.135
65,3.396
66,2.966
67,2.882
68,3.246
69,2.978
70,3.41
71,3.129
72,2.915
73,3.29
74,2.862
75,3.79
76,3.499
77,3.218
78,3.454
79,3.178
80,3.374
81,3.173
82,3.157
83,3.041
84,3.077
85,3.277
86,3.41
87,3.05
88,2.982
89,3.041
90,3.192
91,3.182
92,3.462
93,3.376
94,3.041
95,3.041
96,3.041
97,3.041
98,3.176
99,3.339
100,3.292
101,3.182
