age,dfi
1,1.791
2,1.203
3,1.28
4,1.451
5,1.366
6,1.45
7,1.483
8,1.461
9,1.588
10,1.804
11,1.778
12,2.034
13,1.854
14,2.039
15,1.594
16,1.771
17,1.686
18,1.783
19,1.924
20,1.652
21,1.65
22,1.896
23,2.029
24,1.893
25,1.648
26,1.842
27,1.915
28,2.098
29,1.727
30,2.037
31,1.92
32,2.153
33,1.979
34,2.045
35,2.17
36,2.484
37,2.498
38,2.399
39,2.24
40,2.55
41,2.256
42,2.595
43,2.68
44,2.72
45,2.948
46,2.492
47,2.544
48,2.924
49,3.141
50,3.266
51,2.726
52,2.978
53,3.07
54,3.107
55,2.67
56,3.212
57,2.472
58,2.607
59,2.65
60,1.824
61,2.803
62,2.904
63,2.936
64,3.25
65,2.9
66,2.668
67,0.89
68,3.722
69,3.025
70,3.378
71,2.764
72,2.903
73,2.976
74,2.73
75,3.398
76,3.179
77,3.143
78,3.214
79,3.187
80,3.365
81,3.263
82,3.192
83,3.041
84,3.062
85,3.298
86,3.406
87,3.119
88,2.963
89,3.041
90,3.192
91,3.182
92,3.463
93,3.375
94,3.041
95,3.041
96,3.041
97,3.041
98,3.176
99,3.339
100,3.292
101,3.182
