age,dfi
1,0.65
2,1.669
3,1.589
4,1.611
5,1.681
6,1.344
7,2.052
8,1.355
9,1.674
10,1.721
11,1.958
12,1.872
13,1.79
14,2.189
15,1.811
16,2.165
17,2.242
18,2.423
19,2.458
20,2.346
21,2.332
22,2.149
23,2.275
24,2.085
25,2.624
26,2.383
27,2.572
28,2.332
29,2.422
30,2.374
31,2.293
32,2.346
33,2.344
34,2.282
35,2.443
36,2.304
37,2.045
38,2.065
39,2.121
40,2.798
41,2.37
42,2.212
43,2.662
44,2.406
45,2.411
46,2.127
47,2.436
48,2.255
49,2.219
50,2.341
51,2.95
52,2.495
53,2.926
54,3.206
55,2.896
56,2.946
57,2.792
58,2.736
59,2.344
60,2.584
61,3.238
62,2.648
63,3.435
64,2.817
65,3.158
66,2.779
67,3.08
68,2.586
69,2.42
70,2.145
71,1.778
72,2.256
73,2.235
74,2.286
75,2.186
76,2.201
77,2.286
78,2.538
79,3.037
80,3.317
81,3.069
82,3.138
83,3.041
84,3.041
85,3.194
86,3.382
87,3.021
88,2.998
89,3.041
90,3.192
91,3.179
92,3.475
93,3.387
94,3.041
95,3.041
96,3.041
97,3.041
98,3.168
99,3.339
100,3.292
101,3.183
