age,dfi
1,0.958
2,0.176
3,1.047
4,0.973
5,1.212
6,1.351
7,1.727
8,1.452
9,1.554
10,1.656
11,1.99
12,2.052
13,1.914
14,2.167
15,2.052
16,1.922
17,1.904
18,2.216
19,1.894
20,1.947
21,1.96
22,1.96
23,1.99
24,1.396
25,1.926
26,1.602
27,1.98
28,2.11
29,1.812
30,2.16
31,2.106
32,2.192
33,2.009
34,2.455
35,2.416
36,2.018
37,2.259
38,2.387
39,2.22
40,2.026
41,2.266
42,2.422
43,1.929
44,2.427
45,2.028
46,1.546
47,2.441
48,2.043
49,1.995
50,2.031
51,2.72
52,2.376
53,2.086
54,2.035
55,2.344
56,2.966
57,2.261
58,2.791
59,2.601
60,2.152
61,2.898
62,2.95
63,2.994
64,2.485
65,2.434
66,2.422
67,2.381
68,2.779
69,2.964
70,2.642
71,3.344
72,2.518
73,3.065
74,2.932
75,3.772
76,2.954
77,3.106
78,3.081
79,3.254
80,3.374
81,3.296
82,3.212
83,3.041
84,3.05
85,3.316
86,3.38
87,3.183
88,2.946
89,3.041
90,3.268
91,3.254
92,3.402
93,3.378
94,3.041
95,3.041
96,3.041
97,3.041
98,3.184
99,3.339
100,3.29
101,3.186
