age,dfi
1,1.034
2,1.161
3,0.943
4,1.48
5,1.147
6,1.912
7,1.238
8,1.648
9,1.511
10,1.745
11,1.326
12,1.789
13,1.411
14,1.534
15,0.924
16,1.914
17,1.801
18,1.741
19,1.909
20,1.568
21,1.636
22,1.673
23,1.854
24,1.926
25,1.716
26,1.981
27,1.953
28,2.136
29,2.178
30,1.94
31,2.262
32,2.144
33,2.098
34,1.826
35,1.942
36,1.914
37,1.957
38,2.534
39,2.69
40,2.594
41,2.546
42,2.646
43,2.163
44,2.78
45,2.625
46,3.022
47,1.875
48,2.343
49,2.726
50,2.271
51,1.978
52,2.633
53,2.764
54,2.535
55,3.092
56,2.828
57,2.504
58,1.849
59,2.709
60,2.648
61,2.282
62,2.299
63,2.818
64,2.289
65,2.527
66,2.47
67,2.759
68,2.918
69,2.866
70,2.966
71,3.024
72,2.97
73,3.054
74,2.689
75,3.083
76,2.951
77,3.054
78,3.017
79,3.181
80,3.362
81,3.149
82,3.176
83,3.041
84,3.068
85,3.26
86,3.418
87,3.061
88,2.982
89,3.041
90,3.192
91,3.182
92,3.462
93,3.375
94,3.041
95,3.041
96,3.041
97,3.041
98,3.176
99,3.339
100,3.292
101,3.182
