age,dfi
1,0.52
2,1.367
3,0.994
4,1.792
5,1.946
6,1.976
7,1.89
8,1.744
9,1.867
10,2.072
11,1.902
12,2.267
13,1.923
14,2.266
15,2.225
16,2.147
17,2.165
18,2.5
19,2.216
20,2.157
21,1.978
22,2.276
23,1.952
24,2.434
25,2.074
26,1.616
27,1.998
28,2.509
29,2.082
30,2.083
31,1.839
32,2.282
33,2.266
34,2.04
35,2.258
36,2.442
37,2.785
38,2.858
39,2.193
40,2.8
41,2.807
42,2.836
43,3.614
44,2.78
45,3.185
46,3.255
47,3.153
48,3.572
49,3.244
50,3.832
51,3.574
52,2.907
53,3.308
54,3.461
55,3.35
56,3.128
57,3.763
58,3.26
59,3.204
60,3.81
61,3.473
62,3.451
63,3.332
64,3.848
65,3.488
66,3.981
67,3.433
68,3.201
69,4.19
70,3.383
71,3.696
72,3.104
73,3.399
74,3.136
75,3.236
76,3.134
77,3.226
78,3.318
79,3.19
80,3.372
81,3.188
82,3.172
83,3.041
84,3.068
85,3.281
86,3.403
87,3.036
88,2.99
89,3.041
90,3.192
91,3.184
92,3.463
93,3.37
94,3.041
95,3.041
96,3.041
97,3.041
98,3.178
99,3.339
100,3.294
101,3.182
