age,dfi
1,0.541
2,1.596
3,1.391
4,2.001
5,1.35
6,2.304
7,1.802
8,2.208
9,2.244
10,2.027
11,2.17
12,2.03
13,1.758
14,2.45
15,2.3
16,2.402
17,2.148
18,2.553
19,2.458
20,2.272
21,2.37
22,2.248
23,2.141
24,2.265
25,2.255
26,2.725
27,2.471
28,2.423
29,2.673
30,2.871
31,2.546
32,2.5
33,2.598
34,2.655
35,2.432
36,2.41
37,2.617
38,2.698
39,2.654
40,2.572
41,3.2
42,2.418
43,3.044
44,2.707
45,2.758
46,2.83
47,2.694
48,2.88
49,3.245
50,2.64
51,3.136
52,3.33
53,3.364
54,2.818
55,2.803
56,3.02
57,2.748
58,2.89
59,2.09
60,1.761
61,2.34
62,2.446
63,3.036
64,2.374
65,2.79
66,2.705
67,2.384
68,2.778
69,2.741
70,3.344
71,3.131
72,3.176
73,3.292
74,2.802
75,3.592
76,3.336
77,3.136
78,3.348
79,3.187
80,3.375
81,3.163
82,3.157
83,3.041
84,3.06
85,3.278
86,3.414
87,3.057
88,2.982
89,3.041
90,3.192
91,3.182
92,3.462
93,3.375
94,3.041
95,3.041
96,3.041
97,3.041
98,3.176
99,3.339
100,3.292
101,3.182
